id_client,nom_client,ville,pays,segment
C00001,Mohamed Raji,Marrakech,Maroc,Particulier
C00002,Omar El Fassi,Fès,Maroc,Particulier
C00003,Mohamed El Fassi,Rabat,Maroc,Particulier
C00004,Zakaria Alami,Khouribga,Maroc,Particulier
C00005,Khadija Idrissi,Laâyoune,Maroc,Particulier
C00006,Mohamed Tahiri,Oujda,Maroc,Particulier
C00007,Salma Mansouri,Tétouan,Maroc,Particulier
C00008,Omar El Fassi,Tétouan,Maroc,Particulier
C00009,Hajar Raji,Safi,Maroc,Professionnel
C00010,Ayoub Berrada,Nador,Maroc,Premium
C00011,Youssef Lahlou,El Jadida,Maroc,Professionnel
C00012,Anas Alaoui,Safi,Maroc,Professionnel
C00013,Sara Lahlou,Rabat,Maroc,Premium
C00014,Omar Bousselham,Meknès,Maroc,Particulier
C00015,Amine Kabbaj,Safi,Maroc,Particulier
C00016,Youssef Tahiri,Oujda,Maroc,Particulier
C00017,Amine Cherkaoui,Meknès,Maroc,Particulier
C00018,Sara Sabri,Laâyoune,Maroc,Professionnel
C00019,Sara Bennani,Rabat,Maroc,Professionnel
C00020,Salma El Fassi,El Jadida,Maroc,Particulier
C00021,Mehdi Hassani,Tétouan,Maroc,Particulier
C00022,Hamza Raji,Nador,Maroc,Particulier
C00023,Ayoub Raji,Laâyoune,Maroc,Professionnel
C00024,Anas Bousselham,Béni Mellal,Maroc,Particulier
C00025,Rania Hassani,Fès,Maroc,Particulier
C00026,Omar Mansouri,Rabat,Maroc,Particulier
C00027,Zakaria El Fassi,Béni Mellal,Maroc,Particulier
C00028,Rania Raji,Nador,Maroc,Premium
C00029,Omar Raji,Casablanca,Maroc,Professionnel
C00030,Omar Lahlou,Tétouan,Maroc,Particulier
C00031,Mohamed Raji,Nador,Maroc,Premium
C00032,Rania Berrada,Tanger,Maroc,Professionnel
C00033,Rania Alaoui,Kenitra,Maroc,Particulier
C00034,Ayoub Zeroual,Tanger,Maroc,Premium
C00035,Oumaima Alami,Tétouan,Maroc,Particulier
C00036,Fatima Idrissi,Safi,Maroc,Particulier
C00037,Youssef Hassani,Mohammedia,Maroc,Professionnel
C00038,Hamza Mansouri,Laâyoune,Maroc,Particulier
C00039,Amine Raji,Laâyoune,Maroc,Particulier
C00040,Mehdi Alaoui,Béni Mellal,Maroc,Professionnel
C00041,Hajar Cherkaoui,El Jadida,Maroc,Professionnel
C00042,Omar Idrissi,Nador,Maroc,Particulier
C00043,Mohamed Idrissi,Tétouan,Maroc,Particulier
C00044,Youssef Bennani,Casablanca,Maroc,Particulier
C00045,Nadia El Fassi,Rabat,Maroc,Particulier
C00046,Oumaima Alaoui,Oujda,Maroc,Particulier
C00047,Sara Hassani,Settat,Maroc,Professionnel
C00048,Omar Berrada,Agadir,Maroc,Particulier
C00049,Khadija El Amrani,Safi,Maroc,Particulier
C00050,Omar Bennani,Rabat,Maroc,Particulier
C00051,Omar Idrissi,Tétouan,Maroc,Particulier
C00052,Meryem Mansouri,Laâyoune,Maroc,Particulier
C00053,Meryem Idrissi,Oujda,Maroc,Professionnel
C00054,Meryem Berrada,Mohammedia,Maroc,Particulier
C00055,Mohamed El Fassi,Laâyoune,Maroc,Premium
C00056,Amine El Amrani,Meknès,Maroc,Particulier
C00057,Imane Bennani,Agadir,Maroc,Particulier
C00058,Imane Raji,Casablanca,Maroc,Premium
